GENESIS-Tabelle: 12411-0007
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;
Nationalität, Geschlecht/Familienstand;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;Deutsche;Deutsche;Ausländer;Ausländer
;;männlich;weiblich;männlich;weiblich
31.12.1980;unter 1 Jahr;274025;260984;42349;39794
31.12.1980;1-Jährige;256450;244899;40612;38587
31.12.1980;2-Jährige;254357;241894;41098;38424
31.12.1980;3-Jährige;255947;242643;42380;39891
31.12.1980;4-Jährige;260650;249034;45486;43274
31.12.1980;5-Jährige;254790;242441;47104;44962
31.12.1980;6-Jährige;261396;249801;48453;48759
31.12.1980;7-Jährige;269773;258587;47001;46254
31.12.1980;8-Jährige;306784;293074;46047;45013
31.12.1980;9-Jährige;351436;334235;45700;43668
31.12.1980;10-Jährige;372165;356125;42215;38982
31.12.1980;11-Jährige;426003;407314;41657;37085
31.12.1980;12-Jährige;462356;440762;40384;35325
31.12.1980;13-Jährige;483059;461588;36844;33010
31.12.1980;14-Jährige;498979;476507;40120;34469
31.12.1980;15-Jährige;502465;478130;42704;34394
31.12.1980;16-Jährige;514630;490083;44351;33929
31.12.1980;17-Jährige;510113;487034;43335;31389
31.12.1980;18-Jährige;491991;469598;42189;31391
31.12.1980;19-Jährige;489833;468489;38633;30661
31.12.1980;20-Jährige;472665;451635;43263;36159
31.12.1980;21-Jährige;462139;438831;42168;33956
31.12.1980;22-Jährige;441014;418811;47123;33847
31.12.1980;23-Jährige;431898;410905;50076;34152
31.12.1980;24-Jährige;415330;396881;56210;37995
31.12.1980;25-Jährige;399202;380050;53248;42210
31.12.1980;26-Jährige;398837;382618;51643;46894
31.12.1980;27-Jährige;383958;369024;48779;48352
31.12.1980;28-Jährige;387588;369249;52993;53679
31.12.1980;29-Jährige;380474;364287;50890;50176
31.12.1980;30-Jährige;389935;370050;61500;56973
31.12.1980;31-Jährige;392010;369774;62628;53136
31.12.1980;32-Jährige;365962;352254;65531;50855
31.12.1980;33-Jährige;338845;334161;64985;46532
31.12.1980;34-Jährige;310775;309991;60132;41816
